,name,hymeniumType,capShape,whichGills,stipeCharacter,sporePrintColor,ecologicalType,howEdible
0, Lysurus mokusin,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is olive-brown,ecology is saprotrophic,edibility: unknown
1,Agaricus abruptibulbus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
2,Agaricus amicosus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: choice
3,Agaricus arvensis,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,"spore print is brown
   to blackish-brown",ecology is saprotrophic,edibility: choice
4,Agaricus augustus,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
5,Agaricus bernardii,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
6,Agaricus bisporus,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: choice
7,Agaricus bitorquis,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: choice
8,Agaricus brunneofibrillosus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: choice
9,Agaricus campestris,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: choice
10,Agaricus deserticola,gills on hymenium,cap is convex,hymenium is free,"stipe has a ring
   or is bare",spore print is purple-black,ecology is saprotrophic,edibility: edible
11,Agaricus dulcidulus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
12,Agaricus excellens,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is purple-black,ecology is saprotrophic,edibility: edible
13,Agaricus hondensis,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,"spore print is brown
   to purple-brown",ecology is saprotrophic,edibility: poisonous
14,Agaricus impudicus,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
15,Agaricus lilaceps,gills on hymenium,"cap is flat
   or depressed",hymenium is free,stipe is bare,spore print is blackish-brown,ecology is mycorrhizal,edibility: choice
16,Agaricus moelleri,gills on hymenium,cap is flat,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: poisonous
17,Agaricus pattersoniae,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
18,Agaricus pilatianus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: poisonous
19,Agaricus placomyces,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is blackish-brown,ecology is saprotrophic,edibility: inedible
20,Agaricus semotus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
21,Agaricus silvicola,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,"edibility: edible
   or can cause allergic reactions"
22,Agaricus subrufescens,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: choice
23,Agaricus subrutilescens,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
24,Agaricus xanthodermus,gills on hymenium,cap is convex,hymenium is free,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: poisonous
25,Agrocybe praecox,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
26,Albatrellus subrubescens,pores on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
27,Aleuria aurantia,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: edible
28,Amanita abrupta,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
29,Amanita aestivalis,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
30,Amanita albocreata,gills on hymenium,"cap is flat
   or convex","hymenium is free
   or adnate",stipe has a volva,spore print is white,ecology is mycorrhizal,edibility: inedible
31,Amanita aprica,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: poisonous
32,Amanita arocheae,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
33,Amanita atkinsoniana,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: not recommended
34,Amanita augusta,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: not recommended
35,Amanita australis,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: unknown
36,Amanita bisporigera,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: deadly
37,Amanita brunnescens,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,edibility: poisonous
38,Amanita caesarea,gills on hymenium,cap is convex,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: choice
   but not recommended"
39,Amanita calyptroderma,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
40,Amanita ceciliae,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a volva,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
